cycle,beliefs,sec_clusters,active_goals,aggregate_pe,dedup_merges,sec_filters
1,18,46,0,0.25,0,0
2,21,55,0,0.2667,10,0
3,29,77,0,0.3491,7,0
4,30,80,1,0.3752,14,0
5,37,94,3,0.4654,8,0
6,46,121,3,0.1,0,3
7,46,121,3,0.0,0,7
8,46,121,3,0.0,0,3
9,46,121,3,0.0,0,3
10,46,121,3,0.0,0,3
11,46,121,3,0.0,0,3
12,45,121,3,0.0,0,3
13,45,121,3,0.0,0,3
14,45,121,3,0.0,0,3
15,44,121,3,0.0,0,3
16,44,121,2,0.0,0,2
17,43,121,2,0.0,0,2
18,42,121,1,0.0,0,1
19,42,121,0,0.0,0,0
20,42,121,0,0.0,0,0
21,42,121,0,0.0,0,0
22,42,121,0,0.0,0,0
23,42,121,0,0.0,0,0
24,42,121,0,0.0,0,0
25,44,126,0,0.1562,16,0
26,46,131,0,0.1824,11,0
27,44,132,1,0.1907,12,0
28,41,132,1,0.2156,13,0
29,37,132,1,0.2312,13,0
30,35,133,1,0.2527,12,0
31,32,138,1,0.2721,12,0
32,30,141,1,0.2879,12,0
33,26,141,1,0.3028,12,0
34,30,147,1,0.6058,9,2
